City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,Pisco,PE,-13.7,-76.2167,80.65,54,0,20.71,clear sky
295,Mabaruma,GY,8.2,-59.7833,73.38,97,51,4.83,broken clouds
296,Eureka,US,40.8021,-124.1637,61.66,89,46,5.99,scattered clouds
297,Nexo,DK,55.0607,15.1306,39.29,90,92,5.12,overcast clouds
298,Urengoy,RU,65.9667,78.3667,15.64,95,100,10.11,light snow
299,Tadine,NC,-21.55,167.8833,82.78,77,72,9.84,broken clouds
300,Matamoros,MX,25.5333,-103.25,78.67,11,100,11.74,overcast clouds
301,Sawtell,AU,-30.3833,153.1,69.82,83,75,10.42,light rain
302,Port Macquarie,AU,-31.4333,152.9167,69.89,89,96,7.61,overcast clouds
303,Florence,IT,43.7667,11.25,54.3,83,0,3.44,clear sky
304,San Jose,US,37.3394,-121.895,72.37,57,100,11.99,overcast clouds
305,Grindavik,IS,63.8424,-22.4338,32.47,69,40,23.02,light snow
306,Dakar,SN,14.6937,-17.4441,65.28,81,0,24.0,clear sky
307,Makakilo City,US,21.3469,-158.0858,80.69,56,40,6.91,scattered clouds
308,Ambilobe,MG,-13.2,49.05,73.44,96,100,1.63,overcast clouds
309,Badin,PK,24.656,68.8384,76.12,60,75,12.44,broken clouds
310,Lake Havasu City,US,34.4839,-114.3224,84.99,8,0,4.61,clear sky
311,Sassandra,CI,4.95,-6.0833,78.53,88,65,4.7,broken clouds
312,Wanaka,NZ,-44.7,169.15,55.6,82,97,4.0,overcast clouds
313,Sawakin,SD,19.1059,37.3321,69.06,62,60,14.0,broken clouds
314,Huangmei,CN,30.1924,116.025,65.88,87,86,2.62,overcast clouds
315,Kiunga,PG,-6.1219,141.2906,75.07,97,81,0.49,broken clouds
316,Tokmak,UA,47.2514,35.7058,27.55,76,9,8.97,clear sky
317,Damara,CF,4.9608,18.7035,80.76,33,73,1.01,broken clouds
318,Roebourne,AU,-20.7833,117.1333,90.97,23,48,10.33,scattered clouds
319,Luebo,CD,-5.35,21.4167,70.66,98,92,1.99,light rain
320,Buchanan,LR,5.8808,-10.0467,78.42,88,84,5.86,broken clouds
321,Nakusp,CA,50.2499,-117.8023,41.47,93,100,5.75,overcast clouds
322,Georgetown,MY,5.4112,100.3354,80.53,99,20,2.3,few clouds
323,Halifax,CA,44.6453,-63.5724,46.89,52,40,16.11,scattered clouds
324,Merauke,ID,-8.4667,140.3333,77.76,89,91,5.48,overcast clouds
